B.H.Pressure,Adiabatic Index,rhow,muw,rhoo,muo,rhog,mug,Rate,DPtotal,Water Fraction,Oil Fraction,Gas Fraction,Mix Viscosity,Mix Density
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,3.32,0.52,0.75,0.25,0.0,0.42475,1.01825
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,8.81,26.6,0.9,0.1,0.0,0.3637,1.0673
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,2.71,0.07,0.38,0.38,0.25,0.399875,0.752375
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,0.9,0.0,0.75,0.25,0.0,0.42475,1.01825
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,10.08,30.71,0.75,0.25,0.0,0.42475,1.01825
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,7.65,16.53,0.9,0.1,0.0,0.3637,1.0673
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,12.79,35.66,0.0,0.5,0.5,0.375,0.4865
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,9.28,38.81,1.0,0.0,0.0,0.323,1.1
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,2.65,0.12,0.0,0.3,0.7,0.233,0.3719
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,10.71,38.28,0.0,0.0,1.0,0.02,0.2
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,1.91,0.39,0.08,0.08,0.85,0.095975,0.310475
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,4.44,2.41,0.9,0.1,0.0,0.3637,1.0673
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,4.61,1.21,0.0,0.3,0.7,0.233,0.3719
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,9.95,19.24,0.38,0.38,0.25,0.399875,0.752375
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,3.71,0.01,0.0,0.8,0.2,0.588,0.6584
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,3.55,0.75,0.18,0.18,0.65,0.197275,0.457775
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,1.25,0.0,0.75,0.25,0.0,0.42475,1.01825
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,2.05,0.0,0.0,0.5,0.5,0.375,0.4865
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,0.62,0.0,0.0,0.5,0.5,0.375,0.4865
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,2.39,0.13,0.75,0.25,0.0,0.42475,1.01825
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,6.7,18.03,0.08,0.08,0.85,0.095975,0.310475
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,0.45,0.0,1.0,0.0,0.0,0.323,1.1
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,5.52,1.97,0.5,0.5,0.0,0.5265,0.9365
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,6.79,4.35,0.5,0.5,0.0,0.5265,0.9365
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,5.83,5.03,0.18,0.18,0.65,0.197275,0.457775
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,7.95,7.83,0.5,0.5,0.0,0.5265,0.9365
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,11.64,37.75,0.38,0.38,0.25,0.399875,0.752375
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,1.06,0.06,0.08,0.08,0.85,0.095975,0.310475
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,8.68,39.99,0.08,0.08,0.85,0.095975,0.310475
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,4.89,2.33,0.75,0.25,0.0,0.42475,1.01825
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,6.86,14.29,1.0,0.0,0.0,0.323,1.1
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,15.11,29.35,0.0,1.0,0.0,0.73,0.773
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,5.03,3.78,0.9,0.1,0.0,0.3637,1.0673
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,2.05,0.0,0.25,0.25,0.5,0.27325,0.56825
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,7.38,18.34,1.0,0.0,0.0,0.323,1.1
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,3.16,1.54,0.0,0.1,0.9,0.091,0.2573
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,11.86,32.86,0.5,0.5,0.0,0.5265,0.9365
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,1.46,0.14,0.0,0.1,0.9,0.091,0.2573
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,1.05,0.01,1.0,0.0,0.0,0.323,1.1
