B.H.Pressure,Adiabatic Index,rhow,muw,rhoo,muo,rhog,mug,Rate,DPtotal,Water Fraction,Oil Fraction,Gas Fraction,Mix Viscosity,Mix Density
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,0.37,0.0,1.0,0.0,0.0,0.439,1.021
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,1.45,0.06,1.0,0.0,0.0,0.439,1.021
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,1.63,0.07,1.0,0.0,0.0,0.439,1.021
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,1.98,0.11,1.0,0.0,0.0,0.439,1.021
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,2.16,0.13,1.0,0.0,0.0,0.439,1.021
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,2.67,0.23,1.0,0.0,0.0,0.439,1.021
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,3.17,0.36,1.0,0.0,0.0,0.439,1.021
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,4.22,0.76,1.0,0.0,0.0,0.439,1.021
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,4.63,0.97,1.0,0.0,0.0,0.439,1.021
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,5.14,1.26,1.0,0.0,0.0,0.439,1.021
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,6.33,2.15,1.0,0.0,0.0,0.439,1.021
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,6.98,2.76,1.0,0.0,0.0,0.439,1.021
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,7.32,3.11,1.0,0.0,0.0,0.439,1.021
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,7.48,3.29,1.0,0.0,0.0,0.439,1.021
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,7.64,3.47,1.0,0.0,0.0,0.439,1.021
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,8.23,4.19,1.0,0.0,0.0,0.439,1.021
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,8.51,4.56,1.0,0.0,0.0,0.439,1.021
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,8.83,5.01,1.0,0.0,0.0,0.439,1.021
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,0.39,0.0,0.9,0.1,0.0,0.4901,0.9944
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,0.57,0.0,0.9,0.1,0.0,0.4901,0.9944
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,1.31,0.04,0.9,0.1,0.0,0.4901,0.9944
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,1.69,0.08,0.9,0.1,0.0,0.4901,0.9944
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,2.6,0.19,0.9,0.1,0.0,0.4901,0.9944
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,2.95,0.27,0.9,0.1,0.0,0.4901,0.9944
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,4.54,0.83,0.9,0.1,0.0,0.4901,0.9944
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,4.95,1.03,0.9,0.1,0.0,0.4901,0.9944
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,6.16,1.81,0.9,0.1,0.0,0.4901,0.9944
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,6.58,2.15,0.9,0.1,0.0,0.4901,0.9944
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,6.78,2.32,0.9,0.1,0.0,0.4901,0.9944
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,7.68,3.18,0.9,0.1,0.0,0.4901,0.9944
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,7.77,3.28,0.9,0.1,0.0,0.4901,0.9944
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,8.18,3.73,0.9,0.1,0.0,0.4901,0.9944
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,8.4,4.0,0.9,0.1,0.0,0.4901,0.9944
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,8.7,4.36,0.9,0.1,0.0,0.4901,0.9944
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,8.98,4.73,0.9,0.1,0.0,0.4901,0.9944
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,9.04,4.82,0.9,0.1,0.0,0.4901,0.9944
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,9.18,5.0,0.9,0.1,0.0,0.4901,0.9944
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,0.2,0.0,0.75,0.25,0.0,0.56675,0.9545
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,0.8,0.01,0.75,0.25,0.0,0.56675,0.9545
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,2.37,0.13,0.75,0.25,0.0,0.56675,0.9545
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,3.83,0.46,0.75,0.25,0.0,0.56675,0.9545
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,4.63,0.75,0.75,0.25,0.0,0.56675,0.9545
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,5.37,1.1,0.75,0.25,0.0,0.56675,0.9545
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,5.78,1.32,0.75,0.25,0.0,0.56675,0.9545
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,6.51,1.8,0.75,0.25,0.0,0.56675,0.9545
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,6.62,1.89,0.75,0.25,0.0,0.56675,0.9545
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,7.06,2.22,0.75,0.25,0.0,0.56675,0.9545
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,7.27,2.4,0.75,0.25,0.0,0.56675,0.9545
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,7.37,2.48,0.75,0.25,0.0,0.56675,0.9545
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,7.57,2.66,0.75,0.25,0.0,0.56675,0.9545
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,7.95,3.01,0.75,0.25,0.0,0.56675,0.9545
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,8.22,3.27,0.75,0.25,0.0,0.56675,0.9545
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,9.19,4.36,0.75,0.25,0.0,0.56675,0.9545
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,9.49,4.72,0.75,0.25,0.0,0.56675,0.9545
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,0.66,0.0,0.5,0.5,0.0,0.6945,0.888
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,1.31,0.02,0.5,0.5,0.0,0.6945,0.888
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,1.74,0.06,0.5,0.5,0.0,0.6945,0.888
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,2.16,0.11,0.5,0.5,0.0,0.6945,0.888
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,3.0,0.2,0.5,0.5,0.0,0.6945,0.888
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,4.35,0.5,0.5,0.5,0.0,0.6945,0.888
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,5.56,0.95,0.5,0.5,0.0,0.6945,0.888
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,5.71,1.02,0.5,0.5,0.0,0.6945,0.888
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,6.58,1.47,0.5,0.5,0.0,0.6945,0.888
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,6.72,1.55,0.5,0.5,0.0,0.6945,0.888
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,7.47,2.04,0.5,0.5,0.0,0.6945,0.888
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,7.59,2.13,0.5,0.5,0.0,0.6945,0.888
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,9.43,3.71,0.5,0.5,0.0,0.6945,0.888
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,10.27,4.63,0.5,0.5,0.0,0.6945,0.888
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,0.24,0.0,0.25,0.75,0.0,0.82225,0.8215
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,1.65,0.03,0.25,0.75,0.0,0.82225,0.8215
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,2.12,0.08,0.25,0.75,0.0,0.82225,0.8215
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,2.35,0.11,0.25,0.75,0.0,0.82225,0.8215
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,2.59,0.14,0.25,0.75,0.0,0.82225,0.8215
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,3.71,0.29,0.25,0.75,0.0,0.82225,0.8215
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,4.14,0.35,0.25,0.75,0.0,0.82225,0.8215
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,7.31,1.54,0.25,0.75,0.0,0.82225,0.8215
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,7.45,1.62,0.25,0.75,0.0,0.82225,0.8215
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,7.74,1.79,0.25,0.75,0.0,0.82225,0.8215
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,8.27,2.12,0.25,0.75,0.0,0.82225,0.8215
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,8.39,2.21,0.25,0.75,0.0,0.82225,0.8215
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,8.52,2.29,0.25,0.75,0.0,0.82225,0.8215
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,8.88,2.55,0.25,0.75,0.0,0.82225,0.8215
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,9.76,3.26,0.25,0.75,0.0,0.82225,0.8215
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,10.07,3.54,0.25,0.75,0.0,0.82225,0.8215
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,10.36,3.81,0.25,0.75,0.0,0.82225,0.8215
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,10.55,3.99,0.25,0.75,0.0,0.82225,0.8215
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,11.44,4.91,0.25,0.75,0.0,0.82225,0.8215
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,11.52,5.0,0.25,0.75,0.0,0.82225,0.8215
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,0.26,0.0,0.0,1.0,0.0,0.95,0.755
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,1.29,0.01,0.0,1.0,0.0,0.95,0.755
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,4.03,0.33,0.0,1.0,0.0,0.95,0.755
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,4.94,0.46,0.0,1.0,0.0,0.95,0.755
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,8.4,1.78,0.0,1.0,0.0,0.95,0.755
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,8.84,2.02,0.0,1.0,0.0,0.95,0.755
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,11.05,3.61,0.0,1.0,0.0,0.95,0.755
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,11.67,4.16,0.0,1.0,0.0,0.95,0.755
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,12.15,4.62,0.0,1.0,0.0,0.95,0.755
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,12.34,4.81,0.0,1.0,0.0,0.95,0.755
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,12.52,4.99,0.0,1.0,0.0,0.95,0.755
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,5.36,0.4,0.0,0.0,1.0,0.0183,0.1118
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,6.9,0.74,0.0,0.0,1.0,0.0183,0.1118
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,9.47,1.63,0.0,0.0,1.0,0.0183,0.1118
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,9.66,1.7,0.0,0.0,1.0,0.0183,0.1118
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,12.65,3.31,0.0,0.0,1.0,0.0183,0.1118
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,13.17,3.66,0.0,0.0,1.0,0.0183,0.1118
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,13.67,4.02,0.0,0.0,1.0,0.0183,0.1118
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,14.15,4.37,0.0,0.0,1.0,0.0183,0.1118
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,14.26,4.46,0.0,0.0,1.0,0.0183,0.1118
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,14.6,4.73,0.0,0.0,1.0,0.0183,0.1118
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,0.48,0.0,0.0,0.1,0.9,0.11147,0.17612
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,3.91,0.35,0.0,0.1,0.9,0.11147,0.17612
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,5.12,0.69,0.0,0.1,0.9,0.11147,0.17612
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,5.48,0.82,0.0,0.1,0.9,0.11147,0.17612
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,6.52,1.25,0.0,0.1,0.9,0.11147,0.17612
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,6.67,1.33,0.0,0.1,0.9,0.11147,0.17612
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,7.42,1.72,0.0,0.1,0.9,0.11147,0.17612
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,8.35,2.3,0.0,0.1,0.9,0.11147,0.17612
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,10.12,3.68,0.0,0.1,0.9,0.11147,0.17612
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,10.22,3.76,0.0,0.1,0.9,0.11147,0.17612
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,10.87,4.38,0.0,0.1,0.9,0.11147,0.17612
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,10.96,4.47,0.0,0.1,0.9,0.11147,0.17612
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,11.22,4.73,0.0,0.1,0.9,0.11147,0.17612
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,11.47,5.0,0.0,0.1,0.9,0.11147,0.17612
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,0.26,0.0,0.0,0.3,0.7,0.29781,0.30476
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,1.51,0.03,0.0,0.3,0.7,0.29781,0.30476
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,2.25,0.06,0.0,0.3,0.7,0.29781,0.30476
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,2.73,0.1,0.0,0.3,0.7,0.29781,0.30476
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,3.45,0.19,0.0,0.3,0.7,0.29781,0.30476
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,4.15,0.31,0.0,0.3,0.7,0.29781,0.30476
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,5.01,0.51,0.0,0.3,0.7,0.29781,0.30476
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,5.43,0.62,0.0,0.3,0.7,0.29781,0.30476
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,6.57,1.02,0.0,0.3,0.7,0.29781,0.30476
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,6.75,1.09,0.0,0.3,0.7,0.29781,0.30476
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,7.73,1.55,0.0,0.3,0.7,0.29781,0.30476
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,8.87,2.2,0.0,0.3,0.7,0.29781,0.30476
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,9.13,2.38,0.0,0.3,0.7,0.29781,0.30476
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,9.98,2.99,0.0,0.3,0.7,0.29781,0.30476
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,11.05,3.89,0.0,0.3,0.7,0.29781,0.30476
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,11.54,4.35,0.0,0.3,0.7,0.29781,0.30476
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,11.91,4.72,0.0,0.3,0.7,0.29781,0.30476
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,12.09,4.91,0.0,0.3,0.7,0.29781,0.30476
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,1.67,0.04,0.0,0.5,0.5,0.48415,0.4334
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,2.15,0.08,0.0,0.5,0.5,0.48415,0.4334
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,3.09,0.16,0.0,0.5,0.5,0.48415,0.4334
145,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,3.53,0.22,0.0,0.5,0.5,0.48415,0.4334
