Wall time,Step,Value
1669742594.006371,145,1.6467101573944092
1669742594.8101385,291,0.6170927882194519
1669742595.6236815,437,0.3119589686393738
1669742596.378503,583,0.23973411321640015
1669742597.176772,729,0.20584480464458466
1669742597.964379,875,0.18700630962848663
1669742598.7311869,1021,0.1767536997795105
1669742599.5221734,1167,0.17201383411884308
1669742600.3091505,1313,0.17002670466899872
1669742601.083617,1459,0.1572311967611313
1669742601.8844109,1605,0.15571250021457672
1669742602.6588476,1751,0.14995338022708893
1669742603.4604108,1897,0.14068053662776947
1669742604.29003,2043,0.12963199615478516
1669742605.0762076,2189,0.12264751642942429
1669742605.9101303,2335,0.11565151810646057
1669742606.6700525,2481,0.11072418093681335
1669742607.4755144,2627,0.10584300011396408
1669742608.2411487,2773,0.10507456958293915
1669742609.0353603,2919,0.09937130659818649
1669742609.8392277,3065,0.09884042292833328
1669742610.6484926,3211,0.09323660284280777
1669742611.4471369,3357,0.08542374521493912
1669742612.256055,3503,0.09025420248508453
1669742613.0596023,3649,0.07957703620195389
1669742613.8538828,3795,0.0790291428565979
1669742614.6545684,3941,0.07421548664569855
1669742615.43805,4087,0.07789313793182373
1669742616.2417455,4233,0.07002151757478714
1669742617.0528884,4379,0.07162294536828995
1669742617.8410294,4525,0.06603650748729706
1669742618.623328,4671,0.06791193038225174
1669742619.423915,4817,0.06266511231660843
1669742620.1998143,4963,0.06388717889785767
1669742620.9809191,5109,0.06790084391832352
1669742621.7750351,5255,0.0665605291724205
1669742622.5508456,5401,0.06313589960336685
1669742623.340732,5547,0.06108919903635979
1669742624.0667205,5693,0.06101509928703308
1669742624.8532386,5839,0.05756068229675293
1669742625.6492531,5985,0.05676441639661789
1669742626.4437177,6131,0.058650922030210495
1669742627.2336035,6277,0.055864617228507996
1669742628.0064995,6423,0.05854034423828125
1669742628.7878602,6569,0.05320015549659729
1669742629.6094077,6715,0.05603374168276787
1669742630.42302,6861,0.05598601698875427
1669742631.2283697,7007,0.051587264984846115
1669742632.0023482,7153,0.05623737350106239
1669742632.7401927,7299,0.04778463393449783
1669742633.5489054,7445,0.04901457577943802
1669742634.3786874,7591,0.050546564161777496
1669742635.1786916,7737,0.051549650728702545
1669742636.0131943,7883,0.05476045608520508
1669742636.8322704,8029,0.04523118957877159
1669742637.6479096,8175,0.045627739280462265
1669742638.4333494,8321,0.04477178677916527
1669742639.2100518,8467,0.05103830248117447
1669742639.9860582,8613,0.047280821949243546
1669742640.8077698,8759,0.042754895985126495
1669742641.6065252,8905,0.05248919874429703
1669742642.404929,9051,0.047216497361660004
1669742643.1549942,9197,0.045540425926446915
1669742643.9066854,9343,0.0405554436147213
1669742644.6682065,9489,0.041208360344171524
1669742645.4715335,9635,0.04449416324496269
1669742646.30054,9781,0.047158971428871155
1669742647.127303,9927,0.04157949239015579
1669742648.1443026,10073,0.0394052118062973
1669742649.0958254,10219,0.03810487687587738
1669742650.044012,10365,0.0365559346973896
1669742650.933487,10511,0.03679489344358444
1669742651.8704133,10657,0.03728292137384415
1669742652.879469,10803,0.03575384244322777
1669742653.7001834,10949,0.041737981140613556
1669742654.5155952,11095,0.03502771630883217
1669742655.7800353,11241,0.033791434019804
1669742656.996346,11387,0.0288633294403553
1669742658.1139398,11533,0.035598669201135635
1669742659.119451,11679,0.03424583747982979
1669742660.288158,11825,0.030776774510741234
1669742661.173517,11971,0.027790067717432976
1669742662.0751362,12117,0.027911251410841942
1669742662.996929,12263,0.02665114961564541
1669742663.8038738,12409,0.02670447714626789
1669742664.5943353,12555,0.025652524083852768
1669742665.3740745,12701,0.026601705700159073
1669742666.157578,12847,0.023659920319914818
1669742666.9694896,12993,0.02574891410768032
1669742667.7903025,13139,0.028089888393878937
1669742668.6031892,13285,0.027025533840060234
1669742669.3995097,13431,0.025021253153681755
1669742670.1937041,13577,0.02344026416540146
1669742671.06842,13723,0.021923741325736046
1669742672.0006626,13869,0.02115948125720024
1669742672.7666402,14015,0.026643238961696625
1669742673.5740702,14161,0.019856460392475128
