Wall time,Step,Value
1669779869.3645113,43,34.16984176635742
1669779870.212656,87,24.74789047241211
1669779870.7058456,131,18.617172241210938
1669779871.2318816,175,15.33137321472168
1669779871.6870935,219,13.044921875
1669779872.1717432,263,11.35257625579834
1669779872.665484,307,11.154890060424805
1669779873.1380298,351,9.612958908081055
1669779873.7567787,395,9.34632396697998
1669779874.2836971,439,9.797391891479492
1669779874.7792928,483,8.846688270568848
1669779875.3282123,527,8.334527015686035
1669779875.835398,571,7.418057918548584
1669779876.358843,615,7.1078877449035645
1669779876.943232,659,7.1930832862854
1669779877.537178,703,6.254303455352783
1669779878.0000463,747,7.004123210906982
1669779878.4393632,791,6.4614057540893555
1669779878.9017987,835,6.887347221374512
1669779879.3558757,879,6.798000812530518
1669779879.8742814,923,6.6703572273254395
1669779880.3694043,967,6.763129234313965
1669779880.866688,1011,6.9353532791137695
1669779881.3802114,1055,6.953691005706787
1669779881.9273267,1099,7.18259334564209
1669779882.3753572,1143,6.774349689483643
