Wall time,Step,Value
1669779869.3752897,43,31.34176254272461
1669779870.2203553,87,22.717628479003906
1669779870.7112892,131,17.916372299194336
1669779871.2377415,175,14.482449531555176
1669779871.694067,219,12.459722518920898
1669779872.1767461,263,11.788629531860352
1669779872.6703985,307,10.693062782287598
1669779873.1451027,351,9.988419532775879
1669779873.763578,395,9.157110214233398
1669779874.2911754,439,9.365044593811035
1669779874.7844021,483,8.531570434570312
1669779875.3343546,527,8.476540565490723
1669779875.8428996,571,7.980624198913574
1669779876.3647523,615,7.2586140632629395
1669779876.9498112,659,6.889928817749023
1669779877.5500474,703,5.994373321533203
1669779878.0055757,747,5.412625789642334
1669779878.4462488,791,5.178873062133789
1669779878.9064016,835,4.681753635406494
1669779879.3608747,879,4.498767852783203
1669779879.8793948,923,4.105313301086426
1669779880.3742037,967,3.863696336746216
1669779880.8717914,1011,3.8186452388763428
1669779881.3869827,1055,3.726658582687378
1669779881.9365106,1099,4.036401271820068
1669779882.3801444,1143,3.40016508102417
